,EquipmentID,SurveyDate,AreaName,AreaID,Route,EquipmentName,AnalysisDate,FaultStatus,FaultName,Comment,Location,Analyst
0,01CEXP101,2018-06-18 22:00:00,TRANCHE 1 TV1-TG1 - 3 MOIS,TR 1,TRANCHE 1 TV1-TG1 - 3 MOIS,01CEXP101 PPE EXTRACTION 01CEXP101,2018-07-09 13:35:41,1. FOR INFORMATION,Other,,Nouveau moteur,Laurent/44701
1,01CEXP201,2018-08-05 22:00:00,TRANCHE 1 TV1-TG1 - 3 MOIS,TR 1,TRANCHE 1 TV1-TG1 - 3 MOIS,01CEXP201 PPE EXTRACTION 01CEXP201,2018-08-07 08:15:39,1. FOR INFORMATION,N/A,,,Laurent/44701
2,09JPDMO511,2019-03-26 23:00:00,UTILITE,UTIL,UTILITE,09JPDMO511 ST INCENDIE 09JPDMO511,2019-03-27 15:08:17,1. FOR INFORMATION,Other,"Pas de problème particulier relevé sur cet équipement.

Lubrification OK - Roulement OK - Déséquilibre OK - Jeu OK

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",,Administrator/44538
3,01APHP201,2019-09-30 22:00:00,TRANCHE 1 TV1-TG1 - 3 MOIS,TR 1,TRANCHE 1 TV1-TG1 - 3 MOIS,01APHP201 LIGNE  APH 01APHP201 1MOIS,2019-10-01 11:21:43,1. FOR INFORMATION,Other,"Ligne APH à l'arrêt - Pas de défaut majeur relevé sur le moteur hydraulique, sont visibles principalement des harmoniques de la fréquence de rotation traduisant un léger jeu rotatif.

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",moteur hydraulique,Administrator/44538
4,01APHP101,2019-09-30 22:00:00,TRANCHE 1 TV1-TG1 - 3 MOIS,TR 1,TRANCHE 1 TV1-TG1 - 3 MOIS,01APHP101 LIGNE APH 01APHP101 1MOIS,2019-10-01 11:27:31,1. FOR INFORMATION,Other,"Aucune anomalie significative relevé sur la ligne APH, on retrouve principalement les fréquence de rotation d'entree et de sortie, ainsi que des harmoniques de la fréquence de roation sur la turbine traduisant la présence de jeu. Les amplitudes sont acceptables, évolution à suivre lors de la prochaine campagne.

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",,Administrator/44538
5,01CRFP501,2019-09-30 22:00:00,STATION DE POMPAGE 1MOIS-3MOIS,PPE,STATION DE POMPAGE 1MOIS-3MOIS,01CRFP501 PPE EAU MER 01CRFP501  1MOIS,2019-10-01 11:42:29,1. FOR INFORMATION,Other,"Pas de défaut particulier relevé sur cet équipement, visible principalement des harmoniques de la fréquence de rotation ainsi que des informations à 5 ordres pouvant correspondre à la fréquence hydraulique (roue à 5 aubes)

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",,Administrator/44538
6,02APHP201,2019-09-30 22:00:00,TRANCHE 2 - TG2-TV2 - 3 MOIS,TR 2,TRANCHE 2 - TG2-TV2 - 3 MOIS,02APHP201 LIGNE APH 02APHP201 1MOIS,2019-10-01 11:52:18,1. FOR INFORMATION,Other,"Ligne APH à l'arrêt - Pas de défaut majeur relevé sur le moteur hydraulique, sont visibles principalement des harmoniques de la fréquence de rotation traduisant un léger jeu rotatif.

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",,Administrator/44538
7,02APHP101,2020-07-20 22:00:00,TRANCHE 2 - TG2-TV2 - 3 MOIS,TR 2,TRANCHE 2 - TG2-TV2 - 3 MOIS,02APHP101 LIGNE  APH 02APHP101 1MOIS,2020-07-21 16:00:15,1. FOR INFORMATION,Gear problem,"Nous n'observons pas de défaut particulier sur l'équipement. Les amplitudes vibratoires sont stables sur l'ensemble des points de mesure. Nous relevons des harmoniques de la fréquence de rotation ainsi que des fréquences liées à l'engrènement du multiplicateur. Les amplitudes sont tout à fait acceptables. 

Pas de défaut particulier. A suivre selon planning.",,HL/44534
8,02APHP201,2020-07-20 22:00:00,TRANCHE 2 - TG2-TV2 - 3 MOIS,TR 2,TRANCHE 2 - TG2-TV2 - 3 MOIS,02APHP201 LIGNE APH 02APHP201 1MOIS,2020-07-21 16:03:56,1. FOR INFORMATION,Other,"Ligne à l'arrêt. Nous n'observons pas de défaut particulier sur le moteur hydraulique. 

RAS sur moteur hydraulique. ",,HL/44534
9,02CVIP101,2019-10-17 22:00:00,TRANCHE 2 - TG2-TV2 - 3 MOIS,TR 2,TRANCHE 2 - TG2-TV2 - 3 MOIS,02CVIP101 PPE ANNEAULIQ 02CVIP101 1MOI,2019-10-21 07:30:14,1. FOR INFORMATION,Other,"Nous observons un pic à 15 ordres sur l'ensemble des mesures correspondant à la fréquence hydraulique ainsi que la présence de bruit de fond sur les mesures hautes fréquences de la pompe pouvant être associé à un problème de lubrification, les amplitudes sont faibles, évolution à suivre.

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",,Administrator/44538
10,02ADGP301,2019-10-17 22:00:00,TRANCHE 2 - TG2-TV2 - 3 MOIS,TR 2,TRANCHE 2 - TG2-TV2 - 3 MOIS,02ADGP301 PPE EVAPORATEUR 02ADGP301,2019-10-21 07:38:53,1. FOR INFORMATION,Other,"Pas de défaut majeur relevé sur cet équipement, nous observons principalement des informations d'origines électriques ainsi que des informations synchrones traduisant un léger jeu. Les amplitudes sont acceptables.

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",,Administrator/44538
